type_id,total_sales,date
3,161101,2018-12-20
1,159411,2018-06-17
3,158447,2019-05-30
3,157618,2018-03-10
3,157520,2018-09-16
3,155161,2018-07-14
3,154315,2019-04-13
3,154053,2018-07-03
3,154006,2018-01-16
3,153965,2018-05-31
3,153612,2018-04-04
3,152753,2019-01-24
3,152612,2018-12-14
3,151916,2018-06-30
1,151696,2018-05-15
3,151349,2019-02-01
3,151164,2018-11-29
3,151042,2019-04-10
3,150793,2018-08-28
1,150758,2019-02-23
3,150735,2018-08-10
3,150488,2019-02-09
3,149954,2018-11-23
3,149831,2018-02-16
3,149731,2018-07-16
3,149668,2019-03-08
3,149627,2019-04-17
3,149325,2018-09-27
3,149012,2019-01-27
3,148986,2018-06-21
3,148605,2019-03-06
3,148500,2018-12-05
3,148233,2018-12-25
3,148221,2018-05-06
3,148090,2019-03-20
3,148084,2019-05-10
3,147967,2019-04-04
2,147948,2018-08-15
3,147868,2019-02-14
3,147755,2019-02-02
1,147660,2018-03-13
1,147524,2019-03-02
3,147425,2019-01-20
3,147384,2019-02-15
2,147292,2018-09-15
2,147251,2019-05-24
3,147102,2018-05-28
3,147010,2018-04-24
1,146872,2018-05-16
3,146560,2019-01-09
2,146452,2018-03-30
3,146392,2018-01-02
3,146247,2018-10-15
1,146207,2018-07-30
3,146167,2018-06-08
3,146022,2019-03-05
3,145987,2018-12-29
1,145983,2018-11-08
3,145777,2019-04-20
2,145766,2018-07-27
2,145685,2018-12-18
3,145667,2019-02-21
1,145661,2018-01-05
3,145614,2018-03-20
3,145596,2019-03-17
3,145558,2018-08-16
2,145502,2018-08-14
3,145485,2019-03-07
3,145415,2018-01-03
3,145310,2019-02-13
3,145243,2018-05-27
3,145111,2018-05-29
3,145082,2018-05-16
2,145057,2019-06-03
3,145030,2018-06-25
3,145011,2018-03-09
1,144924,2018-07-16
3,144922,2019-01-02
1,144870,2018-07-19
1,144855,2019-04-12
3,144760,2019-01-30
2,144733,2018-12-01
3,144702,2018-12-11
1,144620,2018-01-16
3,144610,2018-10-20
3,144393,2018-11-01
2,144341,2018-11-15
3,144243,2019-06-03
3,144221,2018-01-20
3,144178,2018-11-25
3,144175,2019-02-03
3,144079,2018-10-08
2,144054,2019-04-21
3,144011,2018-04-08
2,143954,2018-05-13
3,143940,2018-05-23
3,143933,2018-10-18
3,143860,2018-06-09
3,143844,2019-02-24
2,143613,2018-08-02
3,143457,2019-03-29
3,143449,2018-06-01
3,143395,2018-01-17
1,143394,2018-06-02
1,143302,2019-05-18
1,143266,2018-02-26
1,143192,2019-04-02
2,143184,2018-02-23
1,143154,2019-01-29
3,143145,2018-04-15
3,143115,2018-11-30
3,143061,2018-04-26
3,143033,2018-06-07
3,143001,2018-01-24
1,142934,2018-02-22
3,142924,2019-02-23
1,142895,2019-05-17
3,142794,2018-05-14
3,142777,2018-02-01
3,142730,2019-04-09
3,142642,2018-01-04
3,142597,2018-07-07
3,142587,2018-07-29
2,142536,2018-04-17
1,142527,2019-01-02
1,142518,2018-08-21
1,142514,2018-04-08
2,142506,2019-02-09
2,142458,2019-01-14
3,142382,2019-06-01
1,142253,2019-04-06
3,142153,2018-03-02
2,142124,2019-03-07
3,142076,2018-09-25
1,142038,2019-04-05
3,141984,2019-01-26
3,141967,2018-06-10
3,141955,2018-02-28
3,141942,2018-09-01
3,141882,2019-03-24
1,141872,2019-03-13
1,141865,2019-03-26
1,141846,2019-05-05
2,141827,2019-05-10
3,141763,2019-01-04
3,141739,2019-02-26
3,141737,2018-07-18
1,141729,2018-01-03
1,141667,2018-07-28
2,141589,2018-11-25
3,141484,2018-12-02
1,141480,2018-07-03
3,141478,2018-08-30
1,141421,2018-03-03
3,141419,2018-07-11
3,141413,2019-05-11
3,141371,2018-01-13
3,141370,2018-02-08
1,141367,2018-03-20
2,141315,2018-11-27
1,141237,2019-05-10
3,141220,2018-10-25
3,141200,2018-05-18
3,141148,2019-05-18
3,141134,2018-10-27
1,141095,2019-04-20
3,141090,2019-03-14
1,141081,2018-07-02
3,141057,2019-03-31
3,141045,2018-09-24
3,141042,2018-01-06
2,141022,2018-07-29
3,141000,2018-10-03
1,140969,2019-04-18
1,140941,2018-12-06
3,140915,2018-05-13
1,140889,2018-02-17
1,140854,2019-01-23
2,140846,2018-10-17
3,140747,2019-05-17
1,140744,2018-01-14
1,140667,2018-04-30
2,140653,2019-04-03
3,140616,2018-05-07
3,140614,2018-03-18
1,140544,2019-04-11
1,140502,2019-01-07
3,140415,2018-11-27
3,140373,2018-12-31
3,140364,2018-04-16
3,140356,2018-04-07
2,140352,2018-02-21
3,140287,2018-12-15
1,140237,2018-09-05
1,140235,2019-03-08
3,140198,2019-02-28
3,140184,2018-09-10
3,140145,2018-05-20
1,140088,2018-07-26
3,140083,2019-05-08
1,140077,2018-03-30
1,140068,2019-05-29
3,140066,2019-02-17
2,140059,2019-04-01
3,140055,2018-07-09
1,140050,2018-02-09
3,139978,2018-06-19
1,139957,2018-01-02
3,139948,2018-03-17
3,139861,2018-05-30
2,139851,2019-04-10
1,139809,2018-08-10
1,139803,2018-11-15
3,139741,2018-10-04
3,139734,2019-04-25
2,139729,2018-10-12
3,139714,2019-03-23
3,139694,2019-06-04
3,139694,2018-02-22
3,139660,2019-01-21
3,139656,2018-10-10
3,139568,2018-02-15
3,139567,2018-03-06
1,139526,2019-03-05
3,139501,2018-09-09
2,139501,2018-11-23
3,139388,2018-06-02
3,139357,2018-07-24
1,139349,2018-01-21
2,139328,2019-05-17
1,139289,2019-02-17
3,139288,2019-04-16
3,139261,2019-01-29
2,139248,2019-01-16
3,139239,2018-06-13
1,139190,2018-07-04
3,139137,2018-09-03
1,139128,2019-04-27
1,139112,2018-03-24
1,139097,2019-05-02
1,139094,2018-09-12
3,139084,2018-05-10
1,139073,2019-04-22
2,139012,2018-06-22
3,139009,2019-02-05
1,138991,2018-08-29
3,138990,2018-02-06
1,138962,2018-06-19
3,138945,2019-01-18
3,138945,2018-10-06
2,138942,2018-02-26
3,138925,2018-12-22
3,138861,2018-02-14
2,138785,2018-02-22
1,138779,2018-09-27
1,138769,2018-10-07
3,138737,2018-08-29
2,138712,2018-04-27
3,138700,2018-04-30
3,138603,2018-05-26
3,138579,2018-06-24
3,138566,2018-11-26
3,138529,2018-12-30
2,138516,2019-05-31
3,138503,2018-06-16
3,138496,2018-02-20
1,138495,2018-04-07
3,138475,2019-01-11
1,138459,2018-03-18
2,138448,2018-06-17
2,138439,2018-01-10
1,138422,2018-02-03
3,138421,2019-03-26
1,138413,2018-08-06
1,138397,2018-11-12
3,138358,2019-01-14
1,138324,2018-05-14
2,138248,2018-06-24
3,138247,2019-05-14
3,138210,2018-07-19
1,138195,2018-06-25
3,138182,2018-06-23
3,138167,2018-05-21
3,138142,2018-02-02
1,138121,2019-01-12
1,138055,2018-10-29
3,138043,2019-01-22
2,138033,2018-10-30
2,138000,2018-01-26
3,137988,2018-06-14
2,137953,2018-01-27
1,137946,2018-10-24
1,137874,2018-10-18
1,137846,2018-04-20
3,137834,2018-04-29
2,137830,2018-02-15
3,137816,2018-08-13
1,137750,2018-01-22
1,137735,2018-12-21
3,137729,2019-05-05
3,137687,2019-04-27
3,137678,2018-03-05
2,137663,2019-04-25
2,137631,2018-02-17
3,137615,2019-03-19
3,137607,2018-09-20
3,137563,2018-08-26
2,137524,2018-11-08
1,137519,2018-08-18
3,137495,2019-01-17
3,137484,2019-01-12
1,137476,2018-12-02
1,137469,2018-04-04
2,137452,2018-05-31
2,137407,2018-03-27
1,137383,2019-01-19
3,137362,2018-11-11
3,137361,2019-04-21
3,137358,2018-01-11
1,137344,2019-05-26
1,137322,2018-05-06
3,137317,2018-10-29
3,137216,2019-04-28
3,137202,2019-05-13
1,137182,2018-02-24
1,137177,2019-02-15
2,137160,2018-09-16
2,137159,2019-03-22
1,137149,2018-07-12
1,137105,2019-05-12
1,137083,2018-05-22
2,137081,2018-11-28
3,137077,2019-06-05
3,137060,2018-07-26
1,137048,2019-01-08
1,136960,2018-01-08
1,136960,2018-06-20
1,136944,2018-02-21
3,136923,2019-04-06
3,136913,2018-01-22
1,136911,2018-08-16
3,136846,2018-08-01
2,136804,2018-05-12
1,136797,2019-04-28
3,136767,2018-02-05
3,136761,2018-07-28
3,136749,2018-04-19
3,136739,2018-01-19
1,136735,2018-10-31
1,136711,2018-06-13
2,136706,2018-03-05
3,136645,2018-02-19
3,136632,2019-04-02
3,136619,2019-03-04
1,136599,2018-12-05
2,136596,2018-10-14
3,136576,2018-10-02
1,136570,2019-02-27
3,136518,2018-04-23
3,136503,2018-08-22
2,136472,2018-06-01
2,136459,2018-01-11
3,136432,2019-05-21
1,136399,2019-05-21
1,136388,2018-07-10
1,136386,2018-02-05
2,136369,2018-10-20
2,136369,2018-12-24
1,136320,2019-01-05
2,136309,2018-02-04
1,136306,2018-01-09
3,136300,2019-05-09
3,136296,2018-01-14
3,136291,2019-05-07
2,136288,2018-06-12
2,136223,2018-09-26
1,136222,2018-09-22
2,136144,2019-04-16
1,136123,2018-05-29
2,136120,2018-05-14
2,136120,2018-05-07
1,136116,2019-03-17
2,136074,2018-04-01
3,136071,2018-05-19
1,136041,2018-02-02
3,136033,2019-05-01
2,136032,2019-02-10
2,136002,2018-12-04
1,135967,2018-08-09
3,135961,2018-12-18
2,135934,2018-07-25
3,135930,2019-05-04
1,135920,2018-09-02
1,135918,2019-02-22
2,135909,2019-02-21
1,135870,2018-12-24
1,135829,2019-01-14
1,135805,2018-09-01
3,135799,2018-11-16
1,135786,2019-02-21
1,135739,2018-10-19
3,135728,2019-01-31
3,135723,2018-03-29
1,135713,2019-02-12
2,135690,2018-03-12
3,135688,2018-06-15
3,135687,2018-02-13
1,135649,2018-12-10
3,135619,2018-07-31
2,135609,2019-03-29
3,135609,2018-09-02
1,135604,2018-05-07
3,135603,2019-05-02
1,135592,2018-10-12
3,135583,2019-05-22
3,135550,2019-01-08
1,135544,2019-01-16
3,135540,2018-08-19
1,135532,2018-04-28
2,135519,2018-07-09
1,135510,2019-04-19
2,135503,2018-02-10
2,135477,2018-05-16
2,135457,2018-11-17
2,135451,2019-05-26
3,135413,2018-02-12
1,135401,2018-06-05
3,135388,2019-05-12
3,135374,2018-09-26
1,135307,2018-05-31
2,135294,2019-05-29
2,135265,2018-12-05
3,135251,2018-04-22
2,135234,2018-09-17
2,135225,2018-05-01
3,135190,2018-09-29
1,135162,2018-07-06
2,135135,2018-08-06
2,135122,2018-03-03
3,135116,2018-03-25
3,135111,2018-06-20
1,135013,2018-11-26
1,135002,2019-04-21
3,134984,2018-03-07
3,134945,2018-12-13
3,134932,2018-12-06
2,134897,2018-12-19
3,134876,2018-07-12
3,134866,2019-01-15
3,134861,2018-10-28
3,134847,2019-02-06
2,134825,2018-09-29
3,134824,2018-04-18
2,134822,2019-02-25
3,134811,2018-12-23
3,134802,2019-04-29
2,134789,2018-06-08
1,134784,2019-03-11
3,134771,2018-02-10
3,134755,2018-11-07
3,134749,2018-09-28
3,134723,2018-12-01
3,134713,2018-02-11
3,134702,2018-12-26
2,134694,2018-09-05
3,134679,2019-05-03
1,134665,2018-03-19
1,134656,2018-09-25
1,134637,2018-12-28
1,134631,2018-08-07
3,134629,2018-01-30
3,134601,2018-02-09
3,134595,2018-04-17
2,134548,2018-10-13
3,134522,2018-03-31
2,134464,2018-09-24
3,134458,2018-10-19
3,134457,2019-05-25
3,134438,2018-04-10
2,134418,2018-11-02
1,134411,2018-10-27
1,134399,2019-01-30
2,134390,2019-04-29
3,134389,2018-06-04
1,134387,2019-04-23
1,134370,2018-09-06
3,134361,2018-09-11
1,134349,2019-03-27
3,134315,2018-04-13
2,134308,2018-12-14
1,134305,2019-01-15
2,134284,2018-10-08
2,134281,2019-04-24
2,134276,2018-11-19
1,134275,2018-04-16
1,134268,2018-03-21
1,134238,2018-06-23
3,134235,2018-11-20
3,134196,2019-02-12
2,134190,2018-10-18
1,134180,2018-06-12
3,134176,2019-06-02
1,134170,2018-05-30
1,134167,2018-09-07
3,134146,2019-05-19
2,134112,2018-01-19
1,134103,2018-05-05
2,134096,2018-01-22
3,134080,2018-08-06
1,134047,2018-01-29
3,134047,2019-05-15
1,134007,2018-12-07
2,133978,2018-11-09
2,133976,2018-11-22
2,133975,2018-08-17
1,133877,2019-04-15
3,133866,2019-03-28
1,133846,2018-09-16
3,133834,2018-09-22
1,133825,2018-09-13
2,133760,2018-04-14
2,133710,2019-04-20
1,133709,2018-05-24
2,133698,2018-05-29
3,133696,2019-03-13
1,133696,2018-12-14
1,133668,2018-02-19
2,133662,2018-06-23
3,133661,2018-12-16
3,133647,2018-08-23
2,133613,2018-01-06
3,133612,2018-05-12
2,133608,2019-01-05
3,133590,2018-06-12
2,133587,2018-07-22
2,133582,2018-04-18
3,133576,2018-07-10
2,133573,2019-03-31
1,133569,2019-05-30
3,133568,2018-07-22
2,133562,2018-10-05
1,133553,2019-04-24
1,133504,2018-05-23
3,133479,2019-03-21
2,133475,2019-06-05
1,133468,2018-04-02
3,133464,2018-07-05
3,133445,2019-02-16
2,133442,2019-05-09
2,133431,2018-04-11
3,133407,2018-10-01
1,133383,2019-03-04
3,133375,2019-04-15
3,133343,2018-08-27
1,133289,2018-04-26
1,133283,2018-04-03
3,133259,2019-03-30
1,133257,2018-03-27
3,133233,2019-05-29
3,133223,2018-01-10
2,133217,2019-03-04
1,133182,2019-06-01
2,133181,2019-05-07
3,133180,2018-06-18
1,133150,2018-01-28
2,133136,2018-06-19
2,133133,2018-08-22
3,133128,2018-03-27
3,133085,2018-02-07
1,133080,2018-06-11
1,133071,2018-07-31
3,133053,2018-02-26
3,133039,2018-06-22
3,133021,2018-07-01
1,133007,2018-02-16
3,133004,2018-07-04
2,132996,2019-02-20
2,132990,2018-12-21
1,132973,2018-10-10
3,132952,2019-05-31
2,132936,2018-09-06
3,132935,2018-08-02
3,132900,2019-05-27
3,132880,2019-03-15
1,132877,2019-05-04
3,132864,2018-02-23
3,132806,2018-01-27
2,132774,2018-11-30
2,132773,2019-01-10
2,132768,2018-12-29
3,132768,2018-04-14
2,132751,2018-01-29
1,132751,2018-04-12
3,132727,2018-10-17
2,132681,2018-01-18
1,132673,2018-10-14
3,132672,2018-04-09
2,132660,2018-04-25
1,132657,2018-03-23
1,132651,2019-01-01
1,132575,2018-07-22
3,132549,2019-02-10
2,132543,2018-04-23
1,132536,2018-05-28
3,132534,2019-03-27
2,132531,2018-05-28
3,132510,2019-03-12
3,132498,2019-04-14
3,132483,2019-03-18
2,132480,2019-01-13
1,132440,2019-04-16
1,132436,2019-05-31
3,132432,2019-05-23
2,132429,2019-05-01
1,132425,2018-07-17
1,132390,2018-01-18
1,132390,2019-03-03
1,132355,2018-12-20
2,132352,2018-03-25
3,132348,2018-01-28
3,132342,2018-04-27
2,132301,2019-02-15
3,132291,2018-09-23
3,132275,2018-03-12
1,132267,2019-03-28
1,132246,2018-08-26
3,132236,2018-05-25
1,132232,2019-05-28
2,132227,2018-12-23
1,132213,2018-02-13
3,132198,2018-05-22
3,132196,2018-02-25
2,132190,2018-07-07
3,132164,2019-02-22
1,132152,2018-10-25
3,132152,2019-06-08
2,132151,2018-07-28
3,132097,2018-08-18
3,132039,2018-02-04
2,132014,2019-03-01
3,132002,2018-12-19
3,131995,2018-03-16
1,131956,2018-08-28
1,131945,2018-08-01
1,131926,2018-04-27
3,131922,2019-01-03
1,131907,2018-02-08
1,131907,2018-12-23
2,131875,2018-03-23
1,131867,2018-03-17
3,131867,2018-09-15
2,131849,2019-04-19
3,131846,2018-09-05
2,131838,2018-07-12
1,131832,2018-06-26
2,131807,2019-03-26
1,131803,2018-11-05
3,131799,2018-10-26
2,131787,2018-03-15
3,131777,2018-12-04
1,131773,2018-10-13
3,131768,2018-05-09
2,131762,2018-10-03
1,131761,2018-11-11
3,131745,2018-05-01
1,131738,2018-08-20
2,131728,2019-05-03
2,131682,2019-04-04
1,131678,2018-10-22
1,131674,2019-02-14
1,131664,2018-10-21
3,131662,2018-06-03
2,131659,2018-09-30
3,131655,2019-02-04
3,131649,2018-10-09
3,131627,2018-04-11
3,131612,2018-11-28
3,131602,2018-06-28
2,131565,2018-01-09
2,131557,2018-11-04
2,131552,2019-02-03
1,131509,2018-03-15
1,131500,2018-11-18
3,131459,2018-10-07
3,131459,2018-07-25
3,131455,2018-11-18
3,131454,2018-09-18
2,131445,2018-02-14
2,131439,2018-10-15
1,131437,2018-07-13
1,131427,2018-03-04
2,131424,2018-09-02
1,131421,2018-08-24
2,131406,2018-01-14
1,131390,2018-01-24
3,131388,2018-09-14
1,131378,2018-03-29
2,131371,2019-05-11
2,131363,2018-03-21
1,131348,2018-07-24
3,131336,2019-01-10
3,131330,2019-04-18
1,131296,2019-05-08
2,131285,2018-03-04
2,131273,2018-09-07
1,131247,2018-10-23
2,131246,2018-06-06
1,131209,2019-03-30
2,131198,2019-04-18
3,131196,2019-03-03
3,131195,2019-04-01
2,131189,2018-07-10
2,131186,2018-06-03
1,131159,2019-03-09
3,131147,2019-02-11
1,131112,2018-10-04
3,131099,2018-09-19
3,131095,2018-08-03
2,131094,2018-10-11
2,131094,2019-01-07
2,131080,2019-01-03
2,131056,2018-09-04
1,131037,2018-05-18
3,131036,2018-07-13
1,131032,2018-12-25
1,131008,2019-04-25
2,130994,2018-11-10
3,130980,2018-07-08
3,130963,2018-10-11
1,130961,2018-10-16
2,130959,2018-06-18
1,130957,2018-01-19
2,130936,2018-11-21
1,130896,2019-02-11
2,130886,2018-07-03
2,130883,2018-05-27
2,130881,2018-10-23
2,130880,2018-09-11
3,130869,2018-08-25
2,130863,2018-05-30
2,130845,2018-01-07
1,130838,2018-08-17
2,130838,2018-09-08
2,130831,2018-08-10
2,130822,2018-01-23
1,130815,2019-05-24
3,130811,2019-02-19
1,130811,2018-09-24
2,130782,2018-06-14
1,130777,2018-07-05
3,130761,2018-09-12
3,130748,2018-12-17
2,130742,2018-02-12
2,130741,2018-04-20
2,130727,2018-01-28
1,130717,2018-10-15
1,130709,2019-04-26
3,130707,2019-04-22
1,130692,2018-12-17
3,130654,2018-04-05
2,130603,2018-10-24
1,130571,2018-08-08
3,130569,2019-01-16
1,130567,2018-04-06
1,130524,2018-01-04
3,130512,2018-11-09
1,130488,2018-02-27
1,130478,2018-10-02
3,130457,2019-01-25
3,130454,2018-10-31
1,130448,2018-07-18
3,130426,2018-01-07
2,130423,2019-05-23
3,130421,2018-03-03
1,130420,2018-04-05
3,130401,2019-01-23
3,130373,2018-06-05
1,130369,2019-02-19
3,130338,2018-12-03
1,130336,2018-07-27
3,130334,2018-08-21
2,130326,2018-03-01
3,130309,2018-03-19
2,130301,2018-07-18
1,130280,2018-11-27
3,130264,2018-11-02
1,130262,2018-02-15
2,130252,2018-06-20
3,130246,2018-03-23
1,130244,2018-09-17
3,130240,2018-04-25
3,130233,2018-02-24
2,130215,2018-11-13
2,130206,2019-05-22
2,130198,2018-10-10
2,130178,2018-06-25
2,130164,2018-03-18
3,130102,2018-12-21
2,130079,2018-05-04
3,130073,2019-03-22
2,130051,2018-07-08
1,130033,2019-02-24
3,130004,2018-08-09
2,129999,2019-02-12
1,129997,2019-05-13
1,129997,2018-10-26
2,129976,2019-04-26
2,129975,2019-03-16
2,129974,2018-08-19
1,129974,2018-05-27
2,129963,2018-09-27
1,129944,2018-01-10
1,129910,2019-03-06
2,129877,2018-06-30
1,129862,2019-06-06
1,129854,2018-07-09
2,129818,2018-04-22
2,129781,2018-10-19
1,129772,2019-03-23
3,129708,2019-04-11
1,129704,2018-09-28
3,129690,2019-05-24
3,129647,2018-08-11
1,129645,2019-01-03
3,129641,2018-03-13
1,129634,2019-04-07
3,129628,2018-03-24
2,129622,2019-01-01
2,129605,2018-09-09
3,129599,2018-11-14
2,129590,2019-01-02
2,129556,2018-12-22
2,129552,2018-12-10
2,129549,2019-04-05
3,129530,2018-11-24
3,129512,2018-03-01
3,129490,2018-09-08
1,129472,2018-11-28
2,129471,2018-08-31
1,129455,2018-01-12
1,129454,2018-06-09
1,129446,2018-12-16
3,129445,2018-03-28
2,129441,2019-06-10
1,129430,2018-03-10
1,129409,2018-01-26
2,129372,2018-12-13
1,129364,2019-05-09
2,129353,2018-10-29
3,129352,2019-03-11
2,129330,2018-04-21
1,129330,2019-05-06
2,129289,2018-09-18
1,129275,2018-12-01
2,129270,2019-05-04
1,129270,2018-03-26
1,129267,2019-04-13
3,129251,2018-09-06
2,129245,2018-08-13
3,129241,2018-09-30
1,129210,2018-03-01
1,129200,2018-07-01
2,129139,2019-02-24
3,129119,2018-03-08
2,129096,2018-12-25
3,129089,2018-11-15
1,129066,2019-04-30
3,129064,2019-02-27
2,129053,2019-02-02
1,129052,2018-01-11
3,129045,2019-04-05
2,129044,2018-04-29
2,129036,2018-10-07
1,129027,2018-01-20
3,129023,2018-11-10
3,129023,2019-02-07
3,129020,2018-10-13
1,129019,2018-03-28
1,129000,2019-02-09
3,128993,2018-12-24
2,128992,2018-01-24
2,128971,2018-02-05
1,128968,2018-03-07
3,128926,2018-03-04
2,128901,2019-04-23
2,128850,2018-07-21
1,128802,2018-11-21
3,128789,2018-11-04
3,128781,2018-01-31
3,128759,2018-05-24
1,128751,2019-04-09
1,128714,2018-09-21
3,128636,2018-06-26
3,128631,2019-01-13
2,128611,2018-06-28
1,128611,2018-05-21
2,128606,2018-06-11
3,128603,2018-11-12
1,128599,2018-09-20
2,128596,2018-05-23
1,128571,2019-05-16
1,128567,2018-11-07
1,128531,2018-02-20
2,128524,2019-03-18
2,128523,2018-06-05
1,128498,2018-04-18
2,128494,2018-07-13
3,128491,2018-03-14
3,128490,2019-04-23
3,128483,2018-06-29
1,128480,2019-05-11
2,128468,2019-01-29
2,128464,2018-03-28
2,128461,2019-06-01
3,128459,2018-08-15
1,128444,2019-03-29
2,128440,2019-02-05
3,128430,2018-01-25
1,128395,2019-04-29
1,128394,2018-09-08
3,128392,2019-06-06
3,128388,2018-04-03
2,128388,2018-09-10
3,128374,2019-03-16
1,128366,2018-02-18
3,128347,2018-08-17
1,128340,2018-07-23
2,128329,2018-02-24
1,128279,2018-02-14
2,128278,2019-03-09
1,128270,2018-08-04
2,128256,2018-02-20
3,128250,2018-11-21
1,128147,2019-01-28
2,128138,2018-12-11
1,128135,2018-05-09
2,128124,2018-10-25
1,128120,2018-12-15
2,128092,2019-05-30
1,128079,2018-09-09
1,128069,2019-04-01
1,128050,2018-05-11
3,128036,2018-07-23
2,128034,2018-04-16
3,128033,2018-10-23
2,128007,2019-01-22
2,127970,2018-08-27
1,127963,2018-06-14
1,127959,2019-02-18
2,127931,2019-05-20
3,127899,2018-02-03
1,127892,2019-01-17
1,127890,2019-02-02
1,127884,2019-04-04
1,127878,2018-01-06
1,127868,2018-05-12
3,127849,2018-11-05
3,127797,2019-01-19
1,127797,2019-05-15
1,127786,2018-02-23
1,127771,2019-01-24
3,127745,2019-01-28
3,127735,2019-04-19
1,127715,2019-03-12
3,127684,2018-06-27
1,127681,2018-09-11
2,127668,2019-03-30
2,127661,2018-09-03
1,127660,2018-09-14
2,127647,2019-02-14
1,127643,2019-05-07
1,127627,2019-04-17
3,127624,2019-02-18
1,127603,2018-06-21
2,127599,2019-02-27
2,127589,2018-07-11
1,127583,2018-11-17
2,127530,2018-12-31
