product_id,name,total_sales,date
ALL,All Products Pack,130520,2018-03-12
ALL,All Products Pack,130000,2018-09-16
ALL,All Products Pack,127725,2019-01-14
ALL,All Products Pack,127595,2018-02-26
ALL,All Products Pack,127400,2018-03-20
ALL,All Products Pack,127140,2018-02-15
ALL,All Products Pack,127010,2019-02-21
ALL,All Products Pack,125970,2018-03-03
ALL,All Products Pack,125645,2018-07-03
ALL,All Products Pack,125450,2019-05-10
ALL,All Products Pack,125125,2019-02-23
ALL,All Products Pack,125060,2019-05-24
ALL,All Products Pack,124995,2018-10-15
ALL,All Products Pack,124930,2019-05-18
ALL,All Products Pack,124865,2018-09-01
ALL,All Products Pack,124800,2018-01-19
ALL,All Products Pack,124670,2018-05-31
ALL,All Products Pack,124020,2019-02-03
ALL,All Products Pack,123760,2018-06-02
ALL,All Products Pack,123565,2018-11-15
ALL,All Products Pack,123435,2018-10-10
ALL,All Products Pack,123240,2019-02-15
ALL,All Products Pack,123175,2018-10-18
ALL,All Products Pack,123110,2018-06-19
ALL,All Products Pack,123110,2019-05-17
ALL,All Products Pack,123045,2018-11-23
ALL,All Products Pack,122980,2019-04-20
ALL,All Products Pack,122980,2019-02-01
ALL,All Products Pack,122915,2019-01-24
ALL,All Products Pack,122850,2019-04-13
ALL,All Products Pack,122850,2018-05-06
ALL,All Products Pack,122720,2019-02-09
ALL,All Products Pack,122330,2019-04-28
ALL,All Products Pack,122265,2018-01-16
ALL,All Products Pack,122200,2018-10-31
ALL,All Products Pack,122200,2018-12-14
ALL,All Products Pack,121940,2018-04-17
ALL,All Products Pack,121680,2018-05-29
ALL,All Products Pack,121615,2018-07-12
ALL,All Products Pack,121420,2019-03-29
ALL,All Products Pack,121355,2018-04-05
ALL,All Products Pack,121030,2018-05-13
ALL,All Products Pack,120965,2018-01-30
ALL,All Products Pack,120965,2018-08-10
ALL,All Products Pack,120835,2018-09-10
ALL,All Products Pack,120770,2018-10-07
ALL,All Products Pack,120705,2018-07-02
ALL,All Products Pack,120640,2019-05-11
ALL,All Products Pack,120380,2018-06-17
ALL,All Products Pack,120315,2019-01-29
ALL,All Products Pack,120185,2018-06-08
ALL,All Products Pack,120185,2019-02-14
ALL,All Products Pack,120120,2019-03-14
ALL,All Products Pack,119990,2019-05-30
ALL,All Products Pack,119990,2018-05-07
ALL,All Products Pack,119925,2019-03-26
ALL,All Products Pack,119925,2018-10-20
ALL,All Products Pack,119860,2018-10-12
ALL,All Products Pack,119730,2018-04-30
ALL,All Products Pack,119665,2018-03-18
ALL,All Products Pack,119600,2018-12-05
ALL,All Products Pack,119535,2018-12-20
ALL,All Products Pack,119145,2018-04-07
ALL,All Products Pack,119015,2019-01-16
ALL,All Products Pack,118950,2018-05-22
ALL,All Products Pack,118885,2019-03-20
ALL,All Products Pack,118885,2018-11-06
ALL,All Products Pack,118885,2019-04-29
ALL,All Products Pack,118625,2018-02-22
ALL,All Products Pack,118625,2018-10-06
ALL,All Products Pack,118560,2019-06-03
ALL,All Products Pack,118495,2018-08-16
ALL,All Products Pack,118365,2019-03-17
ALL,All Products Pack,118105,2019-04-25
ALL,All Products Pack,118105,2018-02-16
ALL,All Products Pack,118040,2018-01-14
ALL,All Products Pack,117910,2019-01-19
ALL,All Products Pack,117845,2019-06-01
ALL,All Products Pack,117780,2018-06-21
ALL,All Products Pack,117715,2018-07-28
ALL,All Products Pack,117715,2018-02-27
ALL,All Products Pack,117520,2019-03-02
ALL,All Products Pack,117520,2018-06-12
ALL,All Products Pack,117455,2018-06-25
ALL,All Products Pack,117325,2018-06-14
ALL,All Products Pack,117000,2018-06-23
ALL,All Products Pack,117000,2018-03-13
ALL,All Products Pack,116935,2018-10-13
ALL,All Products Pack,116870,2018-10-11
ALL,All Products Pack,116805,2019-04-04
ALL,All Products Pack,116805,2019-05-21
ALL,All Products Pack,116610,2019-04-10
ALL,All Products Pack,116545,2018-09-15
ALL,All Products Pack,116480,2018-07-19
ALL,All Products Pack,116480,2018-05-23
ALL,All Products Pack,116415,2019-05-03
ALL,All Products Pack,116155,2018-01-06
ALL,All Products Pack,116155,2018-08-14
ALL,All Products Pack,116155,2018-12-13
ALL,All Products Pack,116090,2018-06-03
ALL,All Products Pack,116090,2018-10-03
ALL,All Products Pack,115960,2018-08-17
ALL,All Products Pack,115830,2019-05-05
ALL,All Products Pack,115700,2018-02-05
ALL,All Products Pack,115635,2018-01-22
ALL,All Products Pack,115635,2018-03-10
ALL,All Products Pack,115635,2018-01-11
ALL,All Products Pack,115635,2018-06-11
ALL,All Products Pack,115570,2018-11-21
ALL,All Products Pack,115505,2019-05-29
ALL,All Products Pack,115505,2019-02-27
ALL,All Products Pack,115375,2018-08-26
ALL,All Products Pack,115375,2018-01-09
ALL,All Products Pack,115310,2019-05-12
ALL,All Products Pack,115180,2018-11-08
ALL,All Products Pack,115180,2018-04-27
ALL,All Products Pack,115115,2019-01-20
ALL,All Products Pack,114985,2018-02-21
ALL,All Products Pack,114985,2019-02-17
ALL,All Products Pack,114920,2018-05-15
ALL,All Products Pack,114855,2018-11-28
ALL,All Products Pack,114660,2018-03-27
ALL,All Products Pack,114660,2018-05-14
ALL,All Products Pack,114660,2018-10-08
ALL,All Products Pack,114530,2018-12-26
